17,9,2,12,16,7,6
5,10,15,19,3,13,11
4,20,14,1,8,0,18
5,17,12,7,14,18,0
3,11,6,10,8,15,1
9,2,13,4,19,16,20
5,17,15,0,2,16,9
19,20,12,7,1,13,14
10,6,11,18,3,4,8
1,15,4,2,13,6,0
18,3,16,7,11,19,10
5,9,14,8,12,17,20
17,8,14,10,16,15,0
1,5,7,18,6,20,2
12,9,19,13,3,4,11
14,2,12,6,10,19,5
18,9,0,15,11,20,3
1,13,17,16,8,4,7
16,7,0,3,12,5,1
15,17,13,14,10,9,18
8,20,19,6,2,11,4
12,5,0,7,19,17,11
3,13,8,6,10,14,1
20,2,16,9,4,18,15
13,3,2,15,18,0,17
14,7,11,16,9,12,6
20,4,10,5,1,8,19
18,8,15,6,19,17,4
20,5,16,10,3,12,0
9,14,11,1,2,13,7
19,1,4,3,18,14,5
6,8,7,15,0,16,11
2,10,20,12,17,9,13
16,1,9,17,0,5,8
18,13,20,3,7,4,6
14,11,19,12,10,2,15
