7,23,0,19,17,3,1,20
21,22,10,9,13,5,14,11
16,4,12,8,2,15,18,6
3,2,20,12,15,4,6,21
9,0,19,11,17,1,18,13
7,22,10,14,23,5,16,8
22,9,18,11,3,7,17,16
12,8,20,2,4,0,14,6
21,13,23,10,15,1,19,5
15,14,8,22,16,12,5,2
9,4,11,23,17,13,19,7
18,1,20,6,0,3,10,21
18,19,1,5,14,20,17,8
0,7,11,12,13,3,6,16
9,2,15,10,21,22,23,4
8,4,5,19,2,9,12,3
7,10,20,13,15,18,1,0
11,6,21,22,14,23,17,16
17,9,12,8,21,13,22,18
2,6,23,5,4,16,20,19
15,3,7,1,10,11,14,0
11,13,6,8,14,10,4,20
21,0,18,16,3,9,19,7
22,5,2,15,23,1,17,12
13,2,3,9,20,22,1,19
14,23,18,4,21,16,6,17
11,0,7,12,8,10,15,5
19,0,13,15,11,9,22,12
10,23,17,6,14,8,18,5
2,1,7,16,4,21,20,3
22,10,11,14,12,23,18,4
13,20,6,8,9,7,16,15
5,21,1,3,2,17,0,19
9,6,3,17,23,19,8,5
0,10,14,4,15,16,1,18
2,22,12,7,11,13,20,21
