12,2,5,6,3,4,4,6,4,5,2,2,2,2,5,5,3,3,2,3,4
2,12,3,1,4,4,2,5,2,5,2,6,4,4,4,5,4,5,4,4,2
5,3,12,3,3,3,5,4,3,4,4,5,4,2,3,4,2,3,4,3,5
6,1,3,12,3,5,4,3,4,2,5,5,2,5,4,4,3,5,1,3,4
3,4,3,3,12,3,2,6,5,2,2,3,3,5,4,3,5,6,5,4,1
4,4,3,5,3,12,5,1,1,4,2,5,5,4,2,3,4,5,6,3,3
4,2,5,4,2,5,12,2,3,7,2,2,4,4,2,2,7,4,3,3,5
6,5,4,3,6,1,2,12,3,4,4,3,3,3,7,3,3,3,2,4,3
4,2,3,4,5,1,3,3,12,2,5,3,3,2,5,6,6,3,4,3,5
5,5,4,2,2,4,7,4,2,12,3,1,5,3,5,3,3,2,4,5,3
2,2,4,5,2,2,2,4,5,3,12,5,5,5,4,4,1,3,3,6,5
2,6,5,5,3,5,2,3,3,1,5,12,4,4,5,3,2,3,4,3,4
2,4,4,2,3,5,4,3,3,5,5,4,12,3,6,2,3,2,4,4,4
2,4,2,5,5,4,4,3,2,3,5,4,3,12,3,4,6,4,4,3,2
5,4,3,4,4,2,2,7,5,5,4,5,6,3,12,1,2,2,3,2,3
5,5,4,4,3,3,2,3,6,3,4,3,2,4,1,12,4,4,5,2,5
3,4,2,3,5,4,7,3,6,3,1,2,3,6,2,4,12,3,4,3,4
3,5,3,5,6,5,4,3,3,2,3,3,2,4,2,4,3,12,4,5,3
2,4,4,1,5,6,3,2,4,4,3,4,4,4,3,5,4,4,12,4,2
3,4,3,3,4,3,3,4,3,5,6,3,4,3,2,2,3,5,4,12,5
4,2,5,4,1,3,5,3,5,3,5,4,4,2,3,5,4,3,2,5,12
