12,4,4,3,6,4,2,3,6,3,2,2,3,3,4,1,3,6,4,4,3,5,2,6,5,4,4
4,12,3,4,4,4,4,5,3,5,1,2,2,7,3,3,5,3,5,2,2,6,6,4,4,2,3
4,3,12,2,4,3,2,3,4,5,5,4,4,4,2,4,5,4,5,3,4,7,1,6,1,4,3
3,4,2,12,3,5,6,3,5,5,5,3,1,1,2,6,3,2,6,4,5,4,4,3,7,2,2
6,4,4,3,12,4,3,3,3,3,5,3,4,4,3,2,6,2,4,6,1,6,2,2,7,4,2
4,4,3,5,4,12,2,6,2,5,2,2,4,4,4,4,2,5,5,4,6,2,5,4,3,3,2
2,4,2,6,3,2,12,4,3,4,3,6,5,4,6,2,2,4,5,2,3,5,3,2,4,4,6
3,5,3,3,3,6,4,12,2,6,3,7,5,3,4,2,2,2,5,2,5,2,4,2,4,4,5
6,3,4,5,3,2,3,2,12,5,2,2,4,2,4,4,6,2,6,6,4,5,4,3,3,2,4
3,5,5,5,3,5,4,6,5,12,4,4,2,5,2,4,2,3,5,2,3,4,5,2,3,1,4
2,1,5,5,5,2,3,3,2,4,12,5,3,4,4,6,4,3,3,4,4,3,4,4,4,7,2
2,2,4,3,3,2,6,7,2,4,5,12,4,2,6,4,4,3,2,2,5,3,2,4,3,6,6
3,2,4,1,4,4,5,5,4,2,3,4,12,2,3,3,3,4,5,5,4,3,6,5,3,3,6
3,7,4,1,4,4,4,3,2,5,4,2,2,12,7,3,4,5,3,3,4,4,4,4,2,4,4
4,3,2,2,3,4,6,4,4,2,4,6,3,7,12,2,3,5,3,4,4,2,3,3,1,7,5
1,3,4,6,2,4,2,2,4,4,6,4,3,3,2,12,6,5,3,7,3,3,6,5,4,2,2
3,5,5,3,6,2,2,2,6,2,4,4,3,4,3,6,12,1,3,7,4,5,4,2,4,4,2
6,3,4,2,2,5,4,2,2,3,3,3,4,5,5,5,1,12,4,2,3,3,5,6,3,6,5
4,5,5,6,4,5,5,5,6,5,3,2,5,3,3,3,3,4,12,2,3,4,4,2,2,2,1
4,2,3,4,6,4,2,2,6,2,4,2,5,3,4,7,7,2,2,12,3,2,4,4,6,3,3
3,2,4,5,1,6,3,5,4,3,4,5,4,4,4,3,4,3,3,3,12,2,2,6,3,5,5
5,6,7,4,6,2,5,2,5,4,3,3,3,4,2,3,5,3,4,2,2,12,1,5,4,2,4
2,6,1,4,2,5,3,4,4,5,4,2,6,4,3,6,4,5,4,4,2,1,12,2,5,4,4
6,4,6,3,2,4,2,2,3,2,4,4,5,4,3,5,2,6,2,4,6,5,2,12,2,4,4
5,4,1,7,7,3,4,4,3,3,4,3,3,2,1,4,4,3,2,6,3,4,5,2,12,4,5
4,2,4,2,4,3,4,4,2,1,7,6,3,4,7,2,4,6,2,3,5,2,4,4,4,12,3
4,3,3,2,2,2,6,5,4,4,2,6,6,4,5,2,2,5,1,3,5,4,4,4,5,3,12
